FID_fanwei,area,area_mm,Id,FID_xian_3,FID_hebei,diname,FID_xian_4,tid,Input_FID
0,70068.43543,46714625.9,0,2198,0,0,2206,638,637
0,50721.66897,33816136.7,0,2200,0,0,2208,611,610
0,86975.25523,57986402.66,0,2201,0,0,2209,609,608
1,134983.4438,89993461.98,1,2198,0,0,2206,638,637
1,458.3057868,305552.4681,1,2200,0,0,2208,611,610
1,46689.8954,31128153.26,1,2215,0,0,2223,666,665
2,110111.0861,73411061.11,2,2210,0,0,2218,747,746
2,192522.5707,128354797.9,2,2215,0,0,2223,666,665
2,11289.6479,7526808.256,2,2339,0,0,2347,669,668
3,100810.3751,67210277.07,3,2200,0,0,2208,611,610
3,96391.58029,64264266.58,3,2201,0,0,2209,609,608
3,6295.884362,4197466.104,3,2203,0,0,2211,599,598
4,104370.6609,69583919.63,4,2200,0,0,2208,611,610
5,21982.84473,14655962.58,5,2200,0,0,2208,611,610
5,10424.02828,6949699.654,5,2201,0,0,2209,609,608
5,34449.56416,22967524.43,5,2203,0,0,2211,599,598
5,64252.02652,42836826.08,5,2205,0,0,2213,581,580
5,192125.4649,128090047.5,5,2206,0,0,2214,580,579
5,12860.50311,8574097.423,5,2207,0,0,2215,573,572
6,2266.185463,1510865.848,6,2183,0,0,2191,506,505
6,9819.266053,6546504.678,6,2185,0,0,2193,488,487
6,102594.4942,68399749.27,6,2191,0,0,2199,457,456
6,9116.781798,6078158.424,6,2367,0,0,2375,452,451
7,53738.47692,35827442.56,7,2200,0,0,2208,611,610
7,16078.53248,10719557.61,7,2206,0,0,2214,580,579
8,113538.8736,75696367.01,8,2200,0,0,2208,611,610
8,9224.670034,6150087.512,8,2343,0,0,2351,614,613
9,9036.432916,6024589.825,9,2200,0,0,2208,611,610
9,23585.25286,15724288.08,9,2206,0,0,2214,580,579
9,99211.70219,66144441.85,9,2207,0,0,2215,573,572
9,34.74474189,23164.31942,9,2343,0,0,2351,614,613
10,191861.5578,127914100.6,10,2183,0,0,2191,506,505
10,88248.76584,58835452.19,10,2185,0,0,2193,488,487
10,285.9946731,190672.6485,10,2189,0,0,2197,463,462
10,6878.093147,4585624.701,10,2190,0,0,2198,462,461
10,46809.06282,31207602.18,10,2191,0,0,2199,457,456
10,83489.89305,55662711.7,10,2205,0,0,2213,581,580
10,34655.21132,23104629.39,10,2206,0,0,2214,580,579
10,269844.8864,179905585.7,10,2207,0,0,2215,573,572
10,233028.655,155360204.3,10,2208,0,0,2216,521,520
10,249006.3642,166012543,10,2345,0,0,2353,548,547
10,224463.4786,149649801.1,10,2352,0,0,2360,517,516
10,7204.20729,4803045,10,2359,0,0,2367,495,494
10,7912.681483,5275384.745,10,2367,0,0,2375,452,451
11,5048.81981,3366048.167,11,109,0,0,111,601,600
11,40064.34806,26710900.85,11,2200,0,0,2208,611,610
11,21.73251313,14489.06651,11,2206,0,0,2214,580,579
11,1016.246856,677531.7792,11,2207,0,0,2215,573,572
11,67857.73782,45240753.8,11,2343,0,0,2351,614,613
12,5133.771214,3422685.269,12,2359,0,0,2367,495,494
12,107438.4213,71629195.48,12,2367,0,0,2375,452,451
13,21218.72579,14146524.49,13,2200,0,0,2208,611,610
13,123345.2123,82234253.05,13,2343,0,0,2351,614,613
14,47002.44048,31336527.07,14,2198,0,0,2206,638,637
14,55282.76441,36857019.03,14,2200,0,0,2208,611,610
14,10831.6046,7221430.784,14,2215,0,0,2223,666,665
14,195022.6253,130021584.3,14,2339,0,0,2347,669,668
14,51216.00776,34145712.37,14,2343,0,0,2351,614,613
15,18255.41907,12170887.9,15,2409,0,0,2417,279,278
15,11607.99458,7739049.988,15,2411,0,0,2419,275,274
15,60003.27643,40004184.39,15,2414,0,0,2422,265,264
15,56718.39456,37814153.65,15,2415,0,0,2423,241,240
16,208800.7415,139207454.4,16,109,0,0,111,601,600
16,35098.11856,23399915.65,16,2207,0,0,2215,573,572
16,105.5206697,70350.6305,16,2339,0,0,2347,669,668
16,16749.36135,11166799.21,16,2342,0,0,2350,620,619
16,254942.9884,169970490.3,16,2343,0,0,2351,614,613
16,1061.345706,707599.1821,16,2345,0,0,2353,548,547
17,163984.1261,109328216.8,17,2339,0,0,2347,669,668
17,288.2267385,192160.7666,17,2342,0,0,2350,620,619
17,11329.69032,7553504.537,17,2343,0,0,2351,614,613
18,498.0314686,332037.5801,18,108,0,0,110,749,748
18,149634.2311,99761141.9,18,2338,0,0,2346,750,749
18,482809.3012,321888961.1,18,2339,0,0,2347,669,668
19,203543.1513,135702219,19,133,0,0,135,1280,1279
19,584689.1222,389812237.8,19,134,0,0,136,1170,1169
19,29597.58908,19732712.64,19,2085,0,0,2093,1302,1301
19,72784.52848,48525445.14,19,2087,0,0,2095,1276,1275
19,1142020.272,761384915.2,19,2088,0,0,2096,1236,1235
19,270769.7677,180522204.1,19,2089,0,0,2097,1207,1206
19,333956.6335,222648887.6,19,2090,0,0,2098,1200,1199
19,287861.3349,191917152,19,2091,0,0,2099,1195,1194
19,85718.85698,57148761.95,19,2092,0,0,2100,1136,1135
20,63780.01232,42522134.21,20,110,0,0,112,408,407
20,441.6535496,294450.4215,20,2367,0,0,2375,452,451
20,166922.1398,111286990.6,20,2371,0,0,2379,442,441
20,29180.57837,19454691.6,20,2392,0,0,2400,359,358
21,36849.46786,24567540.22,21,2403,0,0,2411,291,290
21,74135.98134,49426458.76,21,2405,0,0,2413,289,288
21,7316.120028,4877657.222,21,2406,0,0,2414,288,287
21,54188.79336,36127668.53,21,2410,0,0,2418,278,277
21,19372.77334,12915827.99,21,2411,0,0,2419,275,274
21,43040.88876,28695360.54,21,2414,0,0,2422,265,264
21,135153.0075,90106510.08,21,2415,0,0,2423,241,240
22,1535.254226,1023553.992,22,111,0,0,113,221,220
22,757.9798457,505345.1632,22,2410,0,0,2418,278,277
22,39.88993437,26594.61925,22,2412,0,0,2420,274,273
22,246375.8398,164258772.4,22,2415,0,0,2423,241,240
22,139195.2015,92801440.81,22,2416,0,0,2424,209,208
23,110180.5938,73457401.9,23,2392,0,0,2400,359,358
23,209146.9526,139438273.3,23,2396,0,0,2404,333,332
23,27960.5712,18641312.82,23,2403,0,0,2411,291,290
23,52576.84322,35052981.38,23,2405,0,0,2413,289,288
23,4963.373255,3309080.949,23,2411,0,0,2419,275,274
24,36538.2272,24360036.07,24,108,0,0,110,749,748
24,111974.6586,74653504.86,24,2337,0,0,2345,761,760
25,377722.012,251827265.4,25,2339,0,0,2347,669,668
25,206375.3707,137590459.6,25,2340,0,0,2348,634,633
25,181858.6512,121245162.8,25,2342,0,0,2350,620,619
26,76132.17489,50757321,26,108,0,0,110,749,748
26,74643.57573,49764871.94,26,2337,0,0,2345,761,760
26,435445.6642,290311624.3,26,2339,0,0,2347,669,668
26,41702.6852,27803180.22,26,2340,0,0,2348,634,633
26,7116.338639,4744462.971,26,2536,0,0,2544,713,712
27,694240.4878,462850133.2,27,111,0,0,113,221,220
27,1868.486212,1245719.757,27,2408,0,0,2416,282,281
27,193.7645835,129182.8478,27,2410,0,0,2418,278,277
27,47401.50439,31602582.98,27,2412,0,0,2420,274,273
27,56769.85892,37848464.94,27,2413,0,0,2421,272,271
27,5051.936273,3368125.913,27,2415,0,0,2423,241,240
27,67551.39768,45036516.84,27,2416,0,0,2424,209,208
28,67265.73654,44846066.55,28,2408,0,0,2416,282,281
28,34428.70126,22953615.13,28,2410,0,0,2418,278,277
28,149171.6685,99452751.41,28,2412,0,0,2420,274,273
28,151606.9879,101076378.8,28,2413,0,0,2421,272,271
29,61984.52149,41325080.48,29,2340,0,0,2348,634,633
30,612991.9645,408681742.8,30,109,0,0,111,601,600
30,9124.282923,6083159.425,30,2207,0,0,2215,573,572
30,150480.4683,100325328.2,30,2340,0,0,2348,634,633
30,23805.00766,15870798.6,30,2341,0,0,2349,623,622
30,588381.9116,392274220.5,30,2342,0,0,2350,620,619
30,5301.201217,3534310.852,30,2343,0,0,2351,614,613
30,513714.1821,342493245.2,30,2344,0,0,2352,607,606
30,180871.517,120587040.4,30,2345,0,0,2353,548,547
30,142256.4678,94842387.1,30,2346,0,0,2354,547,546
30,181050.9827,120706690.1,30,2347,0,0,2355,546,545
30,179668.6032,119785057.7,30,2348,0,0,2356,542,541
30,86288.72483,57528692.85,30,2349,0,0,2357,541,540
30,119170.8959,79451236.32,30,2352,0,0,2360,517,516
30,128721.6922,85818752.18,30,2359,0,0,2367,495,494
30,79454.35975,52972221.65,30,2367,0,0,2375,452,451
30,12298.87951,8199662.971,30,2371,0,0,2379,442,441
31,93313.72359,62212259.52,31,2340,0,0,2348,634,633
31,69878.90461,46588265.7,31,2341,0,0,2349,623,622
31,140300.0106,93538017.05,31,2344,0,0,2352,607,606
32,149597.2989,99736519.2,32,2344,0,0,2352,607,606
32,302.2076235,201481.8226,32,2349,0,0,2357,541,540
33,27776.975,18518909.23,33,2398,0,0,2406,320,319
33,954.1756801,636148.9259,33,2400,0,0,2408,316,315
33,97635.78396,65093777.17,33,2413,0,0,2421,272,271
33,29732.57149,19822705.41,33,2456,0,0,2464,271,270
33,117132.8141,78092447.16,33,2459,0,0,2467,264,263
34,334681.8989,223132422,34,111,0,0,113,221,220
34,25232.66265,16822616.19,34,2413,0,0,2421,272,271
34,114902.8872,76605754.9,34,2459,0,0,2467,264,263
34,276320.0603,184222584.2,34,2465,0,0,2473,249,248
34,50400.15745,33601784.97,34,2467,0,0,2475,231,230
35,9476.07555,6317699.569,35,79,0,0,81,671,670
35,53517.33296,35680005.89,35,2340,0,0,2348,634,633
35,8226.277442,5484459.171,35,2536,0,0,2544,713,712
35,57236.7801,38159761.29,35,2537,0,0,2545,701,700
36,46754.4853,31171215.35,36,79,0,0,81,671,670
36,381721.6621,254493832.1,36,2340,0,0,2348,634,633
36,130832.1914,87225822.04,36,2341,0,0,2349,623,622
36,226954.7162,151310709.3,36,2344,0,0,2352,607,606
36,112311.4052,74878013.85,36,2530,0,0,2538,621,620
36,131897.839,87936289.26,36,2531,0,0,2539,618,617
36,178.7784592,119191.5987,36,2534,0,0,2542,523,522
36,4848.618133,3232573.709,36,2537,0,0,2545,701,700
37,80572.21859,53717498.14,37,2456,0,0,2464,271,270
37,15571.97706,10381837.1,37,2458,0,0,2466,266,265
37,11182.94047,7455666.408,37,2459,0,0,2467,264,263
37,22755.66275,15171200.35,37,2529,0,0,2537,309,308
